Value Bucket ID,Value Bucket,Year,Property Value by Bucket,Property Value by Bucket Moe,Place,Place ID,share
10,"$70,000 to $79,999",2016,901,209,"Austin, TX","16000US4805000",0.005552440053983768
10,"$70,000 to $79,999",2017,769,196,"Austin, TX","16000US4805000",0.004703766683385733
10,"$70,000 to $79,999",2018,682,201,"Austin, TX","16000US4805000",0.004078800999964116
10,"$70,000 to $79,999",2019,685,229,"Austin, TX","16000US4805000",0.003989865160031453
10,"$70,000 to $79,999",2020,477,168,"Austin, TX","16000US4805000",0.0026515172570971165
10,"$70,000 to $79,999",2021,491,207,"Austin, TX","16000US4805000",0.0027193628604817313
10,"$70,000 to $79,999",2022,312,173,"Austin, TX","16000US4805000",0.0016593185093788723
10,"$70,000 to $79,999",2023,347,145,"Austin, TX","16000US4805000",0.0017733214771205757
11,"$80,000 to $89,999",2015,2471,340,"Austin, TX","16000US4805000",0.015700651916991777
11,"$80,000 to $89,999",2016,2164,359,"Austin, TX","16000US4805000",0.013335716178491535
11,"$80,000 to $89,999",2017,1589,301,"Austin, TX","16000US4805000",0.009719486683875072
11,"$80,000 to $89,999",2018,1098,231,"Austin, TX","16000US4805000",0.006566749997009676
11,"$80,000 to $89,999",2019,853,193,"Austin, TX","16000US4805000",0.004968401432856685
11,"$80,000 to $89,999",2020,460,164,"Austin, TX","16000US4805000",0.002557018738500364
11,"$80,000 to $89,999",2021,379,148,"Austin, TX","16000US4805000",0.002099060130595878
11,"$80,000 to $89,999",2022,348,164,"Austin, TX","16000US4805000",0.001850778337384127
11,"$80,000 to $89,999",2023,417,191,"Austin, TX","16000US4805000",0.002131052034464784
12,"$90,000 to $99,999",2015,2213,309,"Austin, TX","16000US4805000",0.014061328487374668
12,"$90,000 to $99,999",2016,2284,343,"Austin, TX","16000US4805000",0.014075219848278498
12,"$90,000 to $99,999",2017,1885,298,"Austin, TX","16000US4805000",0.011530039269417565
12,"$90,000 to $99,999",2018,1383,237,"Austin, TX","16000US4805000",0.008271234285850986
12,"$90,000 to $99,999",2019,1109,306,"Austin, TX","16000US4805000",0.0064595043247808485
12,"$90,000 to $99,999",2020,947,253,"Austin, TX","16000US4805000",0.005264123359477924
12,"$90,000 to $99,999",2021,532,196,"Austin, TX","16000US4805000",0.002946437966957803
12,"$90,000 to $99,999",2022,235,103,"Austin, TX","16000US4805000",0.0012498072105898558
12,"$90,000 to $99,999",2023,171,90,"Austin, TX","16000US4805000",0.0008738846472265661
13,"$100,000 to $124,999",2015,8564,587,"Austin, TX","16000US4805000",0.05441537151643771
13,"$100,000 to $124,999",2016,7412,618,"Austin, TX","16000US4805000",0.045676676670507975
13,"$100,000 to $124,999",2017,5947,539,"Austin, TX","16000US4805000",0.03637620346696353
13,"$100,000 to $124,999",2018,4738,451.99999999999994,"Austin, TX","16000US4805000",0.02833630372115833
13,"$100,000 to $124,999",2019,3852,458.99999999999994,"Austin, TX","16000US4805000",0.022436438826921395
13,"$100,000 to $124,999",2020,3474,557,"Austin, TX","16000US4805000",0.019311050212065792
13,"$100,000 to $124,999",2021,2498,482.99999999999994,"Austin, TX","16000US4805000",0.013834966243346977
13,"$100,000 to $124,999",2022,1793,411,"Austin, TX","16000US4805000",0.009535763100372815
13,"$100,000 to $124,999",2023,1509,454.00000000000006,"Austin, TX","16000US4805000",0.007711648729034434
14,"$125,000 to $149,999",2015,10518,705,"Austin, TX","16000US4805000",0.0668310226074138
14,"$125,000 to $149,999",2016,9288,547,"Austin, TX","16000US4805000",0.0572375840415108
14,"$125,000 to $149,999",2017,7446,631,"Austin, TX","16000US4805000",0.04554518429712636
14,"$125,000 to $149,999",2018,5682,589,"Austin, TX","16000US4805000",0.03398203413753095
14,"$125,000 to $149,999",2019,4442,465,"Austin, TX","16000US4805000",0.025872965023152866
14,"$125,000 to $149,999",2020,2923,449.00000000000006,"Austin, TX","16000US4805000",0.0162481864622534
14,"$125,000 to $149,999",2021,2141,327,"Austin, TX","16000US4805000",0.011857751291835819
14,"$125,000 to $149,999",2022,1184,270,"Austin, TX","16000US4805000",0.006296901009950593
14,"$125,000 to $149,999",2023,749,221.00000000000003,"Austin, TX","16000US4805000",0.0038277169635830294
15,"$150,000 to $174,999",2015,15120,818,"Austin, TX","16000US4805000",0.09607197773570039
15,"$150,000 to $174,999",2016,13705,767,"Austin, TX","16000US4805000",0.08445748162025254
15,"$150,000 to $174,999",2017,11934,736,"Austin, TX","16000US4805000",0.07299707620224362
15,"$150,000 to $174,999",2018,10111,769,"Austin, TX","16000US4805000",0.060470318050787654
15,"$150,000 to $174,999",2019,8085,655,"Austin, TX","16000US4805000",0.0470920581297143
15,"$150,000 to $174,999",2020,6531,706,"Austin, TX","16000US4805000",0.036304107350317125
15,"$150,000 to $174,999",2021,5027,683,"Austin, TX","16000US4805000",0.027841623420858788
15,"$150,000 to $174,999",2022,1988,392,"Austin, TX","16000US4805000",0.01057283716873461
15,"$150,000 to $174,999",2023,1057,230,"Austin, TX","16000US4805000",0.005401731415897546
16,"$175,000 to $199,999",2015,12341,704,"Austin, TX","16000US4805000",0.07841430405001842
16,"$175,000 to $199,999",2016,11738,710,"Austin, TX","16000US4805000",0.07233578396632794
16,"$175,000 to $199,999",2017,9882,613,"Austin, TX","16000US4805000",0.06044554273760444
16,"$175,000 to $199,999",2018,8813,775,"Austin, TX","16000US4805000",0.0527074387282753
16,"$175,000 to $199,999",2019,7501,576,"Austin, TX","16000US4805000",0.043690479657512306
16,"$175,000 to $199,999",2020,6647,829,"Austin, TX","16000US4805000",0.03694892077133026
16,"$175,000 to $199,999",2021,5417,777,"Austin, TX","16000US4805000",0.030001606140997027
16,"$175,000 to $199,999",2022,2437,503,"Austin, TX","16000US4805000",0.01296076669024459
16,"$175,000 to $199,999",2023,2087,446,"Austin, TX","16000US4805000",0.010665481045390897
17,"$200,000 to $249,999",2015,23093,1104,"Austin, TX","16000US4805000",0.14673215488429425
17,"$200,000 to $249,999",2016,23448,935,"Austin, TX","16000US4805000",0.14449901707637225
17,"$200,000 to $249,999",2017,22512,960.9999999999999,"Austin, TX","16000US4805000",0.1376998642085561
17,"$200,000 to $249,999",2018,21643,927.0000000000001,"Austin, TX","16000US4805000",0.12943913495927178
17,"$200,000 to $249,999",2019,20947,886,"Austin, TX","16000US4805000",0.12200832920756036
17,"$200,000 to $249,999",2020,19725,1385,"Austin, TX","16000US4805000",0.10964607525417322
17,"$200,000 to $249,999",2021,17561,1468,"Austin, TX","16000US4805000",0.09726014499576312
17,"$200,000 to $249,999",2022,12827,1313,"Austin, TX","16000US4805000",0.06821820038398332
17,"$200,000 to $249,999",2023,9710,1049,"Austin, TX","16000US4805000",0.04962233874017519
18,"$250,000 to $299,999",2015,17045,742,"Austin, TX","16000US4805000",0.10830336379001411
18,"$250,000 to $299,999",2016,18052,873,"Austin, TX","16000US4805000",0.11124600205828522
18,"$250,000 to $299,999",2017,18268,919,"Austin, TX","16000US4805000",0.1117404548401698
18,"$250,000 to $299,999",2018,19908,914,"Austin, TX","16000US4805000",0.1190627130605361
18,"$250,000 to $299,999",2019,20800,1104,"Austin, TX","16000US4805000",0.12115210996883828
18,"$250,000 to $299,999",2020,20923,1091,"Austin, TX","16000US4805000",0.11630544144705025
18,"$250,000 to $299,999",2021,19601,1110,"Austin, TX","16000US4805000",0.10855851614725544
18,"$250,000 to $299,999",2022,14995,1130,"Austin, TX","16000US4805000",0.0797483366927442
18,"$250,000 to $299,999",2023,11904,1141,"Austin, TX","16000US4805000",0.060834636494649375
19,"$300,000 to $399,999",2015,22755,939,"Austin, TX","16000US4805000",0.14458451411216022
19,"$300,000 to $399,999",2016,25602,915,"Austin, TX","16000US4805000",0.1577731079490482
19,"$300,000 to $399,999",2017,28135,988,"Austin, TX","16000US4805000",0.17209424660215553
19,"$300,000 to $399,999",2018,31226,1113,"Austin, TX","16000US4805000",0.1867516715907324
19,"$300,000 to $399,999",2019,34008,1125,"Austin, TX","16000US4805000",0.19808369979905058
19,"$300,000 to $399,999",2020,39550,1738,"Austin, TX","16000US4805000",0.21984802414715088
19,"$300,000 to $399,999",2021,38772,1630,"Austin, TX","16000US4805000",0.21473551288512768
19,"$300,000 to $399,999",2022,33342,1678,"Austin, TX","16000US4805000",0.1773237107041999
19,"$300,000 to $399,999",2023,28816,1867.0000000000002,"Austin, TX","16000US4805000",0.1472623391490101
20,"$400,000 to $499,999",2015,13560,750,"Austin, TX","16000US4805000",0.0861597895566202
20,"$400,000 to $499,999",2016,15282,689,"Austin, TX","16000US4805000",0.09417579234736953
20,"$400,000 to $499,999",2017,18088,893.0000000000001,"Austin, TX","16000US4805000",0.1106394431327453
20,"$400,000 to $499,999",2018,20324,978,"Austin, TX","16000US4805000",0.12155066205758167
20,"$400,000 to $499,999",2019,22619,946.9999999999999,"Austin, TX","16000US4805000",0.13174709497044004
20,"$400,000 to $499,999",2020,26405,1368,"Austin, TX","16000US4805000",0.14677843432630894
20,"$400,000 to $499,999",2021,27702,1551,"Austin, TX","16000US4805000",0.15342523413658846
20,"$400,000 to $499,999",2022,32341,1473,"Austin, TX","16000US4805000",0.17200006381994268
20,"$400,000 to $499,999",2023,33501,1631,"Austin, TX","16000US4805000",0.17120473430840463
21,"$500,000 to $749,999",2015,13328,703,"Austin, TX","16000US4805000",0.08468566926332109
21,"$500,000 to $749,999",2016,15668,830,"Austin, TX","16000US4805000",0.09655452915185092
21,"$500,000 to $749,999",2017,19136,854,"Austin, TX","16000US4805000",0.117049777962639
21,"$500,000 to $749,999",2018,22791,790,"Austin, TX","16000US4805000",0.13630491728765715
21,"$500,000 to $749,999",2019,26470,881,"Austin, TX","16000US4805000",0.15417770917668988
21,"$500,000 to $749,999",2020,29411,1269,"Austin, TX","16000US4805000",0.16348799590877003
21,"$500,000 to $749,999",2021,32827,1215,"Austin, TX","16000US4805000",0.18180962244609736
21,"$500,000 to $749,999",2022,45357,1477,"Austin, TX","16000US4805000",0.24122342830095359
21,"$500,000 to $749,999",2023,54435,1687.0000000000002,"Austin, TX","16000US4805000",0.27818661270045686
22,"$750,000 to $999,999",2015,4029,375,"Austin, TX","16000US4805000",0.025600132162509056
22,"$750,000 to $999,999",2016,4992,451.99999999999994,"Austin, TX","16000US4805000",0.03076335266313759
22,"$750,000 to $999,999",2017,6049,438,"Austin, TX","16000US4805000",0.03700011010117074
22,"$750,000 to $999,999",2018,6952,501,"Austin, TX","16000US4805000",0.04157745535447292
22,"$750,000 to $999,999",2019,8074,533,"Austin, TX","16000US4805000",0.047027987302326935
22,"$750,000 to $999,999",2020,8947,642,"Austin, TX","16000US4805000",0.049734014463832084
22,"$750,000 to $999,999",2021,11703,739,"Austin, TX","16000US4805000",0.06481609685584054
22,"$750,000 to $999,999",2022,18576,889.0000000000001,"Austin, TX","16000US4805000",0.09879327125071133
22,"$750,000 to $999,999",2023,22295,1064,"Austin, TX","16000US4805000",0.11393718251413036
23,"$1,000,000 to $1,499,999",2015,2090,284,"Austin, TX","16000US4805000",0.013279790573254882
23,"$1,000,000 to $1,499,999",2016,2340,330,"Austin, TX","16000US4805000",0.014420321560845746
23,"$1,000,000 to $1,499,999",2017,2759,311,"Austin, TX","16000US4805000",0.01687606278213425
23,"$1,000,000 to $1,499,999",2018,3339,377,"Austin, TX","16000US4805000",0.01996937908926713
23,"$1,000,000 to $1,499,999",2019,4309,359,"Austin, TX","16000US4805000",0.025098290473832892
23,"$1,000,000 to $1,499,999",2020,5317,744,"Austin, TX","16000US4805000",0.029555801375231384
23,"$1,000,000 to $1,499,999",2021,6714,671,"Austin, TX","16000US4805000",0.03718493328976445
23,"$1,000,000 to $1,499,999",2022,10497,864,"Austin, TX","16000US4805000",0.05582649484919879
23,"$1,000,000 to $1,499,999",2023,14369,827,"Austin, TX","16000US4805000",0.073431862549699
24,"$1,500,000 to $1,999,999",2015,564,145,"Austin, TX","16000US4805000",0.00358363726474438
24,"$1,500,000 to $1,999,999",2016,650,140,"Austin, TX","16000US4805000",0.004005644878012707
24,"$1,500,000 to $1,999,999",2017,843,186,"Austin, TX","16000US4805000",0.0051564048297713565
24,"$1,500,000 to $1,999,999",2018,967,185,"Austin, TX","16000US4805000",0.005783285288805426
24,"$1,500,000 to $1,999,999",2019,1137,208,"Austin, TX","16000US4805000",0.006622593703585054
24,"$1,500,000 to $1,999,999",2020,1495,369,"Austin, TX","16000US4805000",0.008310310900126183
24,"$1,500,000 to $1,999,999",2021,1908,347,"Austin, TX","16000US4805000",0.010567300076983999
24,"$1,500,000 to $1,999,999",2022,3144,422,"Austin, TX","16000US4805000",0.01672082497912556
24,"$1,500,000 to $1,999,999",2023,4049,520,"Austin, TX","16000US4805000",0.020692157524095707
25,"$2,000,000 or More",2015,1085,172,"Austin, TX","16000US4805000",0.006894053957885908
25,"$2,000,000 or More",2016,1352,210,"Austin, TX","16000US4805000",0.00833174134626643
25,"$2,000,000 or More",2017,1569,241,"Austin, TX","16000US4805000",0.009597152049716796
25,"$2,000,000 or More",2018,1854,260,"Austin, TX","16000US4805000",0.011088118847409782
25,"$2,000,000 or More",2019,1942,277,"Austin, TX","16000US4805000",0.011311413344205958
25,"$2,000,000 or More",2020,2004,272,"Austin, TX","16000US4805000",0.011139707721640716
25,"$2,000,000 or More",2021,2215,326,"Austin, TX","16000US4805000",0.012267594166938973
25,"$2,000,000 or More",2022,3980,537,"Austin, TX","16000US4805000",0.021166947651692025
25,"$2,000,000 or More",2023,5453,602,"Austin, TX","16000US4805000",0.02786721041711383
